entity_id,state,last_changed
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,17.2,2026-06-02T09:30:44.217Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,49.1,2026-06-02T09:30:45.246Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,66.4,2026-06-02T09:30:46.272Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,28.1,2026-06-02T09:30:48.328Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,44.3,2026-06-02T09:30:49.357Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,1608.8,2026-06-02T09:30:50.385Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,2254.2,2026-06-02T09:30:51.415Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,2175.9,2026-06-02T09:30:59.983Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,2247.9,2026-06-02T09:32:00.051Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,2169.7,2026-06-02T09:33:00.048Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,2249.9,2026-06-02T09:34:00.045Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,1515.1,2026-06-02T09:34:56.051Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,92.0,2026-06-02T09:34:57.080Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,101.4,2026-06-02T09:34:59.135Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,89.8,2026-06-02T09:35:01.191Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,82.8,2026-06-02T09:35:06.330Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,87.7,2026-06-02T09:35:07.349Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,82.7,2026-06-02T09:35:08.378Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,94.5,2026-06-02T09:35:09.415Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,73.6,2026-06-02T09:35:10.443Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,84.1,2026-06-02T09:35:11.471Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,76.8,2026-06-02T09:35:12.504Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,92.5,2026-06-02T09:35:13.528Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,73.4,2026-06-02T09:35:15.584Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,18.0,2026-06-02T09:35:16.612Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,4.5,2026-06-02T09:35:17.640Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,88.3,2026-06-02T09:35:18.669Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,100.7,2026-06-02T09:35:19.688Z
